gene_name,plate_well_ID,Target_terminus,Ensembl_ID,input
ARF5,P0010_A08,C,ENST00000000233,"ENST00000000233,C"
DBNDD1,P0011_G09,C,ENST00000002501,"ENST00000002501,C"
BAIAP2L1,P0010_B06,N,ENST00000005260,"ENST00000005260,N"
CD9,P0001_C11,N,ENST00000009180,"ENST00000009180,N"
RANBP9,P0016_G06,C,ENST00000011619,"ENST00000011619,C"
VDAC3,P0005_H04,C,ENST00000022615,"ENST00000022615,C"
VAMP3,P0005_H01,N,ENST00000054666,"ENST00000054666,N"
CDC27,P0007_E08,N,ENST00000066544,"ENST00000066544,N"
EPN1,P0008_F05,N,ENST00000085079,"ENST00000085079,N"
PSMC4,P0006_C06,N,ENST00000157812,"ENST00000157812,N"
KIF22,P0017_B06,C,ENST00000160827,"ENST00000160827,C"
NFKB2,P0019_B03,N,ENST00000189444,"ENST00000189444,N"
ACTN1,P0019_C01,C,ENST00000193403,"ENST00000193403,C"
HSPB11,P0005_E03,N,ENST00000194214,"ENST00000194214,N"
RBM22,P0017_G02,C,ENST00000199814,"ENST00000199814,C"
LAMP2,P0003_E02,C,ENST00000200639,"ENST00000200639,C"
SPG21,P0021_H02,N,ENST00000204566,"ENST00000204566,N"
PSME1,P0006_D05,N,ENST00000206451,"ENST00000206451,N"
NANS,P0011_A07,N,ENST00000210444,"ENST00000210444,N"
RPS18,P0019_F04,N,ENST00000211372,"ENST00000211372,N"
BAG6,P0005_A09,C,ENST00000211379,"ENST00000211379,C"
VCL,P0009_F08,N,ENST00000211998,"ENST00000211998,N"
MIF,P0011_F05,C,ENST00000215754,"ENST00000215754,C"
SF3A1,P0017_D06,C,ENST00000215793,"ENST00000215793,C"
LGALS1,P0011_A09,N,ENST00000215909,"ENST00000215909,N"
ANKRD54,P0015_G08,N,ENST00000215941,"ENST00000215941,N"
CENPM,P0003_H04,C,ENST00000215980,"ENST00000215980,C"
RTCB,P0016_B01,N,ENST00000216038,"ENST00000216038,N"
MYH9,P0011_A12,C,ENST00000216181,"ENST00000216181,C"
HSP90AA1,P0005_D05,N,ENST00000216281,"ENST00000216281,N"
SUPT16H,P0012_C05,C,ENST00000216297,"ENST00000216297,C"
ATP6V1D,P0018_E10,C,ENST00000216442,"ENST00000216442,C"
PSMA3,P0006_B03,C,ENST00000216455,"ENST00000216455,C"
AHSA1,P0005_A03,N,ENST00000216479,"ENST00000216479,N"
SPTLC2,P0004_B11,C,ENST00000216484,"ENST00000216484,C"
SRP54,P0012_G07,C,ENST00000216774,"ENST00000216774,C"
EMC9,P0021_B04,N,ENST00000216799,"ENST00000216799,N"
RABGGTA,P0001_G12,N,ENST00000216840,"ENST00000216840,N"
CSNK2A1,P0003_B03,C,ENST00000217244,"ENST00000217244,C"
AHCY,P0019_G05,N,ENST00000217426,"ENST00000217426,N"
MYL12A,P0017_C10,N,ENST00000217652,"ENST00000217652,N"
PSMD10,P0006_C04,C,ENST00000217958,"ENST00000217958,C"
PGRMC1,P0019_D12,C,ENST00000217971,"ENST00000217971,C"
ARL2BP,P0008_D04,C,ENST00000219204,"ENST00000219204,C"
POLR2C,P0010_E02,C,ENST00000219252,"ENST00000219252,C"
PSMD7,P0006_C02,C,ENST00000219313,"ENST00000219313,C"
SLC7A6,P0015_F06,C,ENST00000219343,"ENST00000219343,C"
USP10,P0016_B09,C,ENST00000219473,"ENST00000219473,C"
CDIPT,P0004_G05,C,ENST00000219789,"ENST00000219789,C"
CSK,P0011_H05,N,ENST00000220003,"ENST00000220003,N"
DNAJC17,P0005_C02,N,ENST00000220496,"ENST00000220496,N"
VPS18,P0021_G08,N,ENST00000220509,"ENST00000220509,N"
AGO2,P0013_H09,N,ENST00000220592,"ENST00000220592,N"
EIF3E,P0019_A05,C,ENST00000220849,"ENST00000220849,C"
EMC2,P0021_A12,C,ENST00000220853,"ENST00000220853,C"
PPP2CB,P0007_D03,C,ENST00000221138,"ENST00000221138,C"
HNRNPL,P0012_A11,N,ENST00000221419,"ENST00000221419,N"
RNASEH2A,P0011_B03,N,ENST00000221486,"ENST00000221486,N"
SF3A2,P0017_D07,C,ENST00000221494,"ENST00000221494,C"
FBL,P0003_B06,C,ENST00000221801,"ENST00000221801,C"
POLR2I,P0010_E08,C,ENST00000221859,"ENST00000221859,C"
CDC37,P0005_A10,N,ENST00000222005,"ENST00000222005,N"
RABAC1,P0001_G07,N,ENST00000222008,"ENST00000222008,N"
RAB3D,P0001_F09,N,ENST00000222120,"ENST00000222120,N"
