Gene stable ID,Gene stable ID version,Ensemble_ID,Transcript stable ID version,Ensembl Canonical,Gene type
ENSDARG00000041203,ENSDARG00000041203.7,ENSDART00000060399,ENSDART00000060399.6,1,protein_coding
ENSDARG00000036510,ENSDARG00000036510.5,ENSDART00000053045,ENSDART00000053045.5,1,protein_coding
ENSDARG00000021899,ENSDARG00000021899.6,ENSDART00000037999,ENSDART00000037999.5,1,protein_coding
ENSDARG00000009885,ENSDARG00000009885.10,ENSDART00000132083,ENSDART00000132083.3,1,protein_coding
ENSDARG00000098937,ENSDARG00000098937.2,ENSDART00000168964,ENSDART00000168964.2,1,protein_coding
ENSDARG00000101083,ENSDARG00000101083.2,ENSDART00000170387,ENSDART00000170387.2,1,protein_coding
ENSDARG00000011196,ENSDARG00000011196.9,ENSDART00000016096,ENSDART00000016096.9,1,protein_coding
ENSDARG00000095730,ENSDARG00000095730.2,ENSDART00000137056,ENSDART00000137056.2,1,protein_coding
ENSDARG00000013251,ENSDARG00000013251.9,ENSDART00000009912,ENSDART00000009912.7,1,protein_coding
ENSDARG00000096619,ENSDARG00000096619.2,ENSDART00000152758,ENSDART00000152758.2,1,protein_coding
ENSDARG00000097973,ENSDARG00000097973.2,ENSDART00000153830,ENSDART00000153830.2,1,protein_coding
ENSDARG00000102705,ENSDARG00000102705.2,ENSDART00000168583,ENSDART00000168583.2,1,protein_coding
ENSDARG00000039365,ENSDARG00000039365.6,ENSDART00000057528,ENSDART00000057528.5,1,protein_coding
ENSDARG00000007601,ENSDARG00000007601.11,ENSDART00000171183,ENSDART00000171183.2,1,protein_coding
ENSDARG00000100594,ENSDARG00000100594.2,ENSDART00000190331,ENSDART00000190331.1,1,protein_coding
ENSDARG00000093448,ENSDARG00000093448.3,ENSDART00000137572,ENSDART00000137572.3,1,protein_coding
ENSDARG00000018066,ENSDARG00000018066.11,ENSDART00000186814,ENSDART00000186814.1,1,protein_coding
ENSDARG00000100083,ENSDARG00000100083.2,ENSDART00000166819,ENSDART00000166819.2,1,protein_coding
ENSDARG00000063347,ENSDARG00000063347.7,ENSDART00000159007,ENSDART00000159007.2,1,protein_coding
ENSDARG00000045299,ENSDARG00000045299.5,ENSDART00000066621,ENSDART00000066621.5,1,protein_coding
ENSDARG00000015015,ENSDARG00000015015.9,ENSDART00000141835,ENSDART00000141835.2,1,protein_coding
ENSDARG00000074552,ENSDARG00000074552.4,ENSDART00000111374,ENSDART00000111374.4,1,protein_coding
ENSDARG00000044956,ENSDARG00000044956.8,ENSDART00000066086,ENSDART00000066086.8,1,protein_coding
ENSDARG00000099499,ENSDARG00000099499.2,ENSDART00000159787,ENSDART00000159787.2,1,protein_coding
ENSDARG00000057013,ENSDARG00000057013.8,ENSDART00000079596,ENSDART00000079596.7,1,protein_coding
ENSDARG00000040180,ENSDARG00000040180.6,ENSDART00000058777,ENSDART00000058777.5,1,protein_coding
ENSDARG00000090624,ENSDARG00000090624.4,ENSDART00000131113,ENSDART00000131113.3,1,protein_coding
ENSDARG00000009657,ENSDARG00000009657.8,ENSDART00000021139,ENSDART00000021139.8,1,protein_coding
ENSDARG00000019406,ENSDARG00000019406.11,ENSDART00000152224,ENSDART00000152224.4,1,protein_coding
ENSDARG00000030945,ENSDARG00000030945.9,ENSDART00000156352,ENSDART00000156352.2,1,protein_coding
ENSDARG00000021220,ENSDARG00000021220.9,ENSDART00000027957,ENSDART00000027957.8,1,protein_coding
ENSDARG00000005775,ENSDARG00000005775.10,ENSDART00000022042,ENSDART00000022042.10,1,protein_coding
ENSDARG00000028088,ENSDARG00000028088.8,ENSDART00000030566,ENSDART00000030566.8,1,protein_coding
ENSDARG00000030335,ENSDARG00000030335.5,ENSDART00000041549,ENSDART00000041549.4,1,protein_coding
ENSDARG00000088316,ENSDARG00000088316.5,ENSDART00000130984,ENSDART00000130984.4,1,protein_coding
ENSDARG00000073707,ENSDARG00000073707.5,ENSDART00000110923,ENSDART00000110923.4,1,protein_coding
ENSDARG00000059855,ENSDARG00000059855.7,ENSDART00000083665,ENSDART00000083665.6,1,protein_coding
ENSDARG00000036994,ENSDARG00000036994.7,ENSDART00000136243,ENSDART00000136243.3,1,protein_coding
ENSDARG00000037429,ENSDARG00000037429.5,ENSDART00000054472,ENSDART00000054472.4,1,protein_coding
ENSDARG00000008380,ENSDARG00000008380.11,ENSDART00000143300,ENSDART00000143300.3,1,protein_coding
ENSDARG00000020201,ENSDARG00000020201.10,ENSDART00000157155,ENSDART00000157155.2,1,protein_coding
ENSDARG00000096156,ENSDARG00000096156.3,ENSDART00000150764,ENSDART00000150764.2,1,protein_coding
ENSDARG00000069827,ENSDARG00000069827.5,ENSDART00000101923,ENSDART00000101923.4,1,protein_coding
ENSDARG00000058597,ENSDARG00000058597.7,ENSDART00000149260,ENSDART00000149260.3,1,protein_coding
ENSDARG00000071457,ENSDARG00000071457.5,ENSDART00000105666,ENSDART00000105666.5,1,protein_coding
ENSDARG00000043912,ENSDARG00000043912.9,ENSDART00000137135,ENSDART00000137135.3,1,protein_coding
ENSDARG00000076160,ENSDARG00000076160.6,ENSDART00000112071,ENSDART00000112071.4,1,protein_coding
ENSDARG00000053344,ENSDARG00000053344.7,ENSDART00000148358,ENSDART00000148358.2,1,protein_coding
ENSDARG00000088571,ENSDARG00000088571.4,ENSDART00000145368,ENSDART00000145368.3,1,protein_coding
ENSDARG00000089645,ENSDARG00000089645.3,ENSDART00000124938,ENSDART00000124938.3,1,protein_coding
ENSDARG00000094524,ENSDARG00000094524.4,ENSDART00000152812,ENSDART00000152812.2,1,protein_coding
ENSDARG00000063311,ENSDARG00000063311.7,ENSDART00000156685,ENSDART00000156685.2,1,protein_coding
ENSDARG00000095946,ENSDARG00000095946.4,ENSDART00000150005,ENSDART00000150005.4,1,protein_coding
ENSDARG00000044808,ENSDARG00000044808.11,ENSDART00000169613,ENSDART00000169613.3,1,protein_coding
ENSDARG00000004953,ENSDARG00000004953.10,ENSDART00000110696,ENSDART00000110696.3,1,protein_coding
ENSDARG00000097245,ENSDARG00000097245.4,ENSDART00000156765,ENSDART00000156765.3,1,protein_coding
ENSDARG00000076213,ENSDARG00000076213.5,ENSDART00000152011,ENSDART00000152011.3,1,protein_coding
ENSDARG00000077996,ENSDARG00000077996.5,ENSDART00000171527,ENSDART00000171527.2,1,protein_coding
ENSDARG00000117163,ENSDARG00000117163.1,ENSDART00000158444,ENSDART00000158444.2,1,protein_coding
ENSDARG00000087835,ENSDARG00000087835.4,ENSDART00000137552,ENSDART00000137552.2,1,protein_coding
ENSDARG00000071037,ENSDARG00000071037.4,ENSDART00000021177,ENSDART00000021177.8,1,protein_coding
ENSDARG00000098237,ENSDARG00000098237.2,ENSDART00000167748,ENSDART00000167748.2,1,protein_coding
ENSDARG00000030156,ENSDARG00000030156.7,ENSDART00000048046,ENSDART00000048046.5,1,protein_coding
ENSDARG00000103883,ENSDARG00000103883.2,ENSDART00000171017,ENSDART00000171017.2,1,protein_coding
ENSDARG00000041429,ENSDARG00000041429.7,ENSDART00000129776,ENSDART00000129776.3,1,protein_coding
ENSDARG00000039501,ENSDARG00000039501.10,ENSDART00000073663,ENSDART00000073663.6,1,protein_coding
ENSDARG00000076499,ENSDARG00000076499.5,ENSDART00000145012,ENSDART00000145012.2,1,protein_coding
ENSDARG00000042807,ENSDARG00000042807.7,ENSDART00000148872,ENSDART00000148872.3,1,protein_coding
ENSDARG00000031283,ENSDARG00000031283.8,ENSDART00000137505,ENSDART00000137505.2,1,protein_coding
ENSDARG00000061194,ENSDARG00000061194.9,ENSDART00000086984,ENSDART00000086984.8,1,protein_coding
ENSDARG00000090889,ENSDARG00000090889.3,ENSDART00000124159,ENSDART00000124159.3,1,protein_coding
ENSDARG00000023053,ENSDARG00000023053.10,ENSDART00000099690,ENSDART00000099690.5,1,protein_coding
ENSDARG00000097406,ENSDARG00000097406.2,ENSDART00000155832,ENSDART00000155832.2,1,protein_coding
ENSDARG00000095704,ENSDARG00000095704.3,ENSDART00000174974,ENSDART00000174974.2,1,protein_coding
ENSDARG00000031420,ENSDARG00000031420.8,ENSDART00000031499,ENSDART00000031499.9,1,protein_coding
ENSDARG00000058231,ENSDARG00000058231.7,ENSDART00000065125,ENSDART00000065125.7,1,protein_coding
ENSDARG00000105068,ENSDARG00000105068.2,ENSDART00000170318,ENSDART00000170318.2,1,protein_coding
ENSDARG00000035427,ENSDARG00000035427.8,ENSDART00000138116,ENSDART00000138116.3,1,protein_coding
ENSDARG00000061864,ENSDARG00000061864.10,ENSDART00000153055,ENSDART00000153055.2,1,protein_coding
ENSDARG00000070959,ENSDARG00000070959.5,ENSDART00000139385,ENSDART00000139385.3,1,protein_coding
ENSDARG00000102585,ENSDARG00000102585.2,ENSDART00000164646,ENSDART00000164646.2,1,protein_coding
ENSDARG00000070127,ENSDARG00000070127.6,ENSDART00000149088,ENSDART00000149088.3,1,protein_coding
ENSDARG00000002508,ENSDARG00000002508.9,ENSDART00000023686,ENSDART00000023686.9,1,protein_coding
ENSDARG00000074056,ENSDARG00000074056.5,ENSDART00000111063,ENSDART00000111063.5,1,protein_coding
ENSDARG00000040465,ENSDARG00000040465.7,ENSDART00000059230,ENSDART00000059230.7,1,protein_coding
ENSDARG00000062562,ENSDARG00000062562.7,ENSDART00000152603,ENSDART00000152603.2,1,protein_coding
ENSDARG00000099304,ENSDARG00000099304.2,ENSDART00000158914,ENSDART00000158914.2,1,protein_coding
ENSDARG00000088885,ENSDARG00000088885.3,ENSDART00000128404,ENSDART00000128404.3,1,protein_coding
ENSDARG00000096187,ENSDARG00000096187.2,ENSDART00000150600,ENSDART00000150600.2,1,protein_coding
ENSDARG00000094425,ENSDARG00000094425.2,ENSDART00000131712,ENSDART00000131712.2,1,protein_coding
ENSDARG00000059354,ENSDARG00000059354.4,ENSDART00000082454,ENSDART00000082454.4,1,protein_coding
ENSDARG00000076014,ENSDARG00000076014.6,ENSDART00000027829,ENSDART00000027829.10,1,protein_coding
ENSDARG00000056680,ENSDARG00000056680.7,ENSDART00000079215,ENSDART00000079215.6,1,protein_coding
ENSDARG00000086327,ENSDARG00000086327.4,ENSDART00000127015,ENSDART00000127015.3,1,protein_coding
ENSDARG00000026871,ENSDARG00000026871.10,ENSDART00000036797,ENSDART00000036797.9,1,protein_coding
ENSDARG00000025346,ENSDARG00000025346.9,ENSDART00000148920,ENSDART00000148920.2,1,protein_coding
ENSDARG00000098876,ENSDARG00000098876.2,ENSDART00000159935,ENSDART00000159935.2,1,protein_coding
ENSDARG00000075556,ENSDARG00000075556.5,ENSDART00000155838,ENSDART00000155838.2,1,protein_coding
ENSDARG00000033466,ENSDARG00000033466.7,ENSDART00000049900,ENSDART00000049900.7,1,protein_coding
ENSDARG00000055610,ENSDARG00000055610.7,ENSDART00000077962,ENSDART00000077962.6,1,protein_coding
ENSDARG00000056065,ENSDARG00000056065.4,ENSDART00000078491,ENSDART00000078491.4,1,protein_coding
ENSDARG00000090194,ENSDARG00000090194.3,ENSDART00000126897,ENSDART00000126897.3,1,protein_coding
ENSDARG00000038359,ENSDARG00000038359.9,ENSDART00000055956,ENSDART00000055956.8,1,protein_coding
ENSDARG00000101009,ENSDARG00000101009.2,ENSDART00000167001,ENSDART00000167001.2,1,protein_coding
ENSDARG00000044924,ENSDARG00000044924.8,ENSDART00000066033,ENSDART00000066033.8,1,protein_coding
ENSDARG00000093833,ENSDARG00000093833.2,ENSDART00000134976,ENSDART00000134976.2,1,protein_coding
ENSDARG00000062146,ENSDARG00000062146.7,ENSDART00000089506,ENSDART00000089506.6,1,protein_coding
ENSDARG00000102061,ENSDARG00000102061.2,ENSDART00000159165,ENSDART00000159165.2,1,protein_coding
ENSDARG00000028066,ENSDARG00000028066.4,ENSDART00000031937,ENSDART00000031937.4,1,protein_coding
ENSDARG00000068515,ENSDARG00000068515.7,ENSDART00000099131,ENSDART00000099131.6,1,protein_coding
ENSDARG00000060008,ENSDARG00000060008.6,ENSDART00000084102,ENSDART00000084102.6,1,protein_coding
ENSDARG00000095879,ENSDARG00000095879.4,ENSDART00000143009,ENSDART00000143009.3,1,protein_coding
ENSDARG00000033227,ENSDARG00000033227.9,ENSDART00000032547,ENSDART00000032547.8,1,protein_coding
ENSDARG00000031930,ENSDARG00000031930.10,ENSDART00000132647,ENSDART00000132647.4,1,protein_coding
ENSDARG00000005616,ENSDARG00000005616.11,ENSDART00000003508,ENSDART00000003508.9,1,protein_coding
ENSDARG00000013492,ENSDARG00000013492.8,ENSDART00000133300,ENSDART00000133300.2,1,protein_coding
ENSDARG00000092813,ENSDARG00000092813.3,ENSDART00000138179,ENSDART00000138179.2,1,protein_coding
ENSDARG00000069504,ENSDARG00000069504.4,ENSDART00000101216,ENSDART00000101216.3,1,protein_coding
ENSDARG00000008457,ENSDARG00000008457.9,ENSDART00000037553,ENSDART00000037553.7,1,protein_coding
ENSDARG00000016038,ENSDARG00000016038.7,ENSDART00000006300,ENSDART00000006300.7,1,protein_coding
ENSDARG00000105631,ENSDARG00000105631.2,ENSDART00000189926,ENSDART00000189926.1,1,protein_coding
ENSDARG00000069826,ENSDARG00000069826.5,ENSDART00000101916,ENSDART00000101916.4,1,protein_coding
ENSDARG00000078954,ENSDARG00000078954.7,ENSDART00000102075,ENSDART00000102075.6,1,protein_coding
ENSDARG00000053194,ENSDARG00000053194.7,ENSDART00000075187,ENSDART00000075187.4,1,protein_coding
ENSDARG00000070868,ENSDARG00000070868.4,ENSDART00000089342,ENSDART00000089342.5,1,protein_coding
ENSDARG00000030804,ENSDARG00000030804.7,ENSDART00000049328,ENSDART00000049328.6,1,protein_coding
ENSDARG00000002582,ENSDARG00000002582.10,ENSDART00000004333,ENSDART00000004333.10,1,protein_coding
ENSDARG00000079727,ENSDARG00000079727.5,ENSDART00000115071,ENSDART00000115071.4,1,protein_coding
ENSDARG00000073948,ENSDARG00000073948.3,ENSDART00000113197,ENSDART00000113197.3,1,protein_coding
ENSDARG00000096528,ENSDARG00000096528.3,ENSDART00000152744,ENSDART00000152744.3,1,protein_coding
ENSDARG00000040321,ENSDARG00000040321.9,ENSDART00000059003,ENSDART00000059003.6,1,protein_coding
ENSDARG00000088867,ENSDARG00000088867.3,ENSDART00000154798,ENSDART00000154798.2,1,protein_coding
ENSDARG00000036215,ENSDARG00000036215.7,ENSDART00000131424,ENSDART00000131424.3,1,protein_coding
ENSDARG00000039959,ENSDARG00000039959.6,ENSDART00000150096,ENSDART00000150096.2,1,protein_coding
ENSDARG00000074617,ENSDARG00000074617.5,ENSDART00000148789,ENSDART00000148789.3,1,protein_coding
ENSDARG00000017905,ENSDARG00000017905.9,ENSDART00000005593,ENSDART00000005593.6,1,protein_coding
ENSDARG00000070467,ENSDARG00000070467.7,ENSDART00000103450,ENSDART00000103450.5,1,protein_coding
ENSDARG00000086425,ENSDARG00000086425.5,ENSDART00000126154,ENSDART00000126154.4,1,protein_coding
ENSDARG00000037473,ENSDARG00000037473.7,ENSDART00000143960,ENSDART00000143960.2,1,protein_coding
ENSDARG00000025554,ENSDARG00000025554.6,ENSDART00000132491,ENSDART00000132491.3,1,protein_coding
ENSDARG00000013252,ENSDARG00000013252.8,ENSDART00000114552,ENSDART00000114552.4,1,protein_coding
ENSDARG00000061644,ENSDARG00000061644.7,ENSDART00000169425,ENSDART00000169425.2,1,protein_coding
ENSDARG00000039123,ENSDARG00000039123.6,ENSDART00000048739,ENSDART00000048739.6,1,protein_coding
ENSDARG00000070487,ENSDARG00000070487.5,ENSDART00000103493,ENSDART00000103493.5,1,protein_coding
ENSDARG00000094886,ENSDARG00000094886.4,ENSDART00000140053,ENSDART00000140053.3,1,protein_coding
ENSDARG00000103118,ENSDARG00000103118.2,ENSDART00000160545,ENSDART00000160545.2,1,protein_coding
ENSDARG00000062326,ENSDARG00000062326.7,ENSDART00000145477,ENSDART00000145477.2,1,protein_coding
ENSDARG00000103471,ENSDARG00000103471.2,ENSDART00000164555,ENSDART00000164555.2,1,protein_coding
ENSDARG00000045567,ENSDARG00000045567.7,ENSDART00000067004,ENSDART00000067004.6,1,protein_coding
ENSDARG00000041431,ENSDARG00000041431.8,ENSDART00000135729,ENSDART00000135729.4,1,protein_coding
ENSDARG00000071487,ENSDARG00000071487.7,ENSDART00000105736,ENSDART00000105736.6,1,protein_coding
ENSDARG00000012341,ENSDARG00000012341.8,ENSDART00000007732,ENSDART00000007732.8,1,protein_coding
ENSDARG00000091799,ENSDARG00000091799.5,ENSDART00000121537,ENSDART00000121537.5,1,protein_coding
ENSDARG00000105269,ENSDARG00000105269.2,ENSDART00000171625,ENSDART00000171625.2,1,protein_coding
ENSDARG00000104854,ENSDARG00000104854.2,ENSDART00000160945,ENSDART00000160945.2,1,protein_coding
ENSDARG00000005544,ENSDARG00000005544.11,ENSDART00000014970,ENSDART00000014970.10,1,protein_coding
ENSDARG00000037537,ENSDARG00000037537.6,ENSDART00000054659,ENSDART00000054659.6,1,protein_coding
ENSDARG00000075156,ENSDARG00000075156.6,ENSDART00000143766,ENSDART00000143766.3,1,protein_coding
ENSDARG00000035648,ENSDARG00000035648.5,ENSDART00000051693,ENSDART00000051693.4,1,protein_coding
ENSDARG00000058022,ENSDARG00000058022.7,ENSDART00000134550,ENSDART00000134550.3,1,protein_coding
ENSDARG00000091954,ENSDARG00000091954.2,ENSDART00000136326,ENSDART00000136326.2,1,protein_coding
ENSDARG00000062111,ENSDARG00000062111.6,ENSDART00000115222,ENSDART00000115222.4,1,protein_coding
ENSDARG00000062965,ENSDARG00000062965.7,ENSDART00000091595,ENSDART00000091595.6,1,protein_coding
ENSDARG00000008678,ENSDARG00000008678.11,ENSDART00000018640,ENSDART00000018640.11,1,protein_coding
ENSDARG00000070013,ENSDARG00000070013.4,ENSDART00000102391,ENSDART00000102391.4,1,protein_coding
ENSDARG00000056757,ENSDARG00000056757.5,ENSDART00000192161,ENSDART00000192161.1,1,protein_coding
ENSDARG00000071074,ENSDARG00000071074.4,ENSDART00000104859,ENSDART00000104859.4,1,protein_coding
ENSDARG00000093116,ENSDARG00000093116.2,ENSDART00000140224,ENSDART00000140224.2,1,protein_coding
ENSDARG00000022160,ENSDARG00000022160.10,ENSDART00000090100,ENSDART00000090100.6,1,protein_coding
ENSDARG00000097155,ENSDARG00000097155.2,ENSDART00000155280,ENSDART00000155280.2,1,protein_coding
ENSDARG00000075456,ENSDARG00000075456.5,ENSDART00000158616,ENSDART00000158616.2,1,protein_coding
ENSDARG00000007169,ENSDARG00000007169.8,ENSDART00000005784,ENSDART00000005784.8,1,protein_coding
ENSDARG00000087032,ENSDARG00000087032.5,ENSDART00000135551,ENSDART00000135551.4,1,protein_coding
ENSDARG00000053884,ENSDARG00000053884.8,ENSDART00000190836,ENSDART00000190836.1,1,protein_coding
ENSDARG00000103713,ENSDARG00000103713.3,ENSDART00000171606,ENSDART00000171606.3,1,protein_coding
ENSDARG00000019207,ENSDARG00000019207.10,ENSDART00000027237,ENSDART00000027237.8,1,protein_coding
ENSDARG00000099773,ENSDARG00000099773.2,ENSDART00000163528,ENSDART00000163528.2,1,protein_coding
ENSDARG00000093665,ENSDARG00000093665.4,ENSDART00000151975,ENSDART00000151975.2,1,protein_coding
ENSDARG00000044298,ENSDARG00000044298.6,ENSDART00000065036,ENSDART00000065036.6,1,protein_coding
ENSDARG00000103057,ENSDARG00000103057.2,ENSDART00000167440,ENSDART00000167440.2,1,protein_coding
ENSDARG00000040254,ENSDARG00000040254.4,ENSDART00000058888,ENSDART00000058888.4,1,protein_coding
ENSDARG00000060062,ENSDARG00000060062.5,ENSDART00000103572,ENSDART00000103572.2,1,protein_coding
ENSDARG00000052088,ENSDARG00000052088.6,ENSDART00000186734,ENSDART00000186734.1,1,protein_coding
ENSDARG00000098144,ENSDARG00000098144.2,ENSDART00000152047,ENSDART00000152047.2,1,protein_coding
ENSDARG00000077686,ENSDARG00000077686.7,ENSDART00000058622,ENSDART00000058622.8,1,protein_coding
ENSDARG00000096757,ENSDARG00000096757.2,ENSDART00000153340,ENSDART00000153340.2,1,protein_coding
ENSDARG00000045832,ENSDARG00000045832.6,ENSDART00000067362,ENSDART00000067362.6,1,protein_coding
ENSDARG00000023645,ENSDARG00000023645.11,ENSDART00000004797,ENSDART00000004797.10,1,protein_coding
ENSDARG00000089202,ENSDARG00000089202.3,ENSDART00000121997,ENSDART00000121997.3,1,protein_coding
ENSDARG00000054975,ENSDARG00000054975.5,ENSDART00000077260,ENSDART00000077260.5,1,protein_coding
ENSDARG00000094125,ENSDARG00000094125.2,ENSDART00000145885,ENSDART00000145885.2,1,protein_coding
ENSDARG00000062801,ENSDARG00000062801.9,ENSDART00000091183,ENSDART00000091183.7,1,protein_coding
ENSDARG00000061187,ENSDARG00000061187.7,ENSDART00000143340,ENSDART00000143340.3,1,protein_coding
ENSDARG00000101300,ENSDARG00000101300.2,ENSDART00000158865,ENSDART00000158865.2,1,protein_coding
ENSDARG00000098510,ENSDARG00000098510.2,ENSDART00000151978,ENSDART00000151978.3,1,protein_coding
ENSDARG00000092249,ENSDARG00000092249.2,ENSDART00000141558,ENSDART00000141558.2,1,protein_coding
ENSDARG00000068716,ENSDARG00000068716.7,ENSDART00000131777,ENSDART00000131777.2,1,protein_coding
ENSDARG00000021163,ENSDARG00000021163.14,ENSDART00000189391,ENSDART00000189391.1,1,protein_coding
ENSDARG00000014954,ENSDARG00000014954.10,ENSDART00000009971,ENSDART00000009971.9,1,protein_coding
ENSDARG00000055781,ENSDARG00000055781.5,ENSDART00000085498,ENSDART00000085498.5,1,protein_coding
ENSDARG00000035540,ENSDARG00000035540.8,ENSDART00000020434,ENSDART00000020434.11,1,protein_coding
ENSDARG00000073870,ENSDARG00000073870.6,ENSDART00000186403,ENSDART00000186403.1,1,protein_coding
ENSDARG00000061120,ENSDARG00000061120.8,ENSDART00000180013,ENSDART00000180013.1,1,protein_coding
ENSDARG00000075795,ENSDARG00000075795.3,ENSDART00000109460,ENSDART00000109460.3,1,protein_coding
ENSDARG00000020618,ENSDARG00000020618.10,ENSDART00000134763,ENSDART00000134763.3,1,protein_coding
ENSDARG00000094025,ENSDARG00000094025.3,ENSDART00000172549,ENSDART00000172549.2,1,protein_coding
ENSDARG00000101102,ENSDARG00000101102.2,ENSDART00000165889,ENSDART00000165889.2,1,protein_coding
ENSDARG00000078162,ENSDARG00000078162.5,ENSDART00000150457,ENSDART00000150457.2,1,protein_coding
ENSDARG00000095324,ENSDARG00000095324.5,ENSDART00000140613,ENSDART00000140613.3,1,protein_coding
