Gene stable ID,Gene stable ID version,Ensemble_ID,Transcript stable ID version,Ensembl Canonical,Gene type
ENSDARG00000042370,ENSDARG00000042370.7,ENSDART00000154829,ENSDART00000154829.2,1,protein_coding
ENSDARG00000097746,ENSDARG00000097746.2,ENSDART00000155479,ENSDART00000155479.2,1,protein_coding
ENSDARG00000078991,ENSDARG00000078991.4,ENSDART00000108694,ENSDART00000108694.4,1,protein_coding
ENSDARG00000102845,ENSDARG00000102845.2,ENSDART00000169521,ENSDART00000169521.2,1,protein_coding
ENSDARG00000096908,ENSDARG00000096908.2,ENSDART00000155827,ENSDART00000155827.2,1,protein_coding
ENSDARG00000093957,ENSDARG00000093957.2,ENSDART00000147009,ENSDART00000147009.2,1,protein_coding
ENSDARG00000093686,ENSDARG00000093686.4,ENSDART00000163370,ENSDART00000163370.3,1,protein_coding
ENSDARG00000090836,ENSDARG00000090836.4,ENSDART00000149108,ENSDART00000149108.2,1,protein_coding
ENSDARG00000101567,ENSDARG00000101567.2,ENSDART00000170119,ENSDART00000170119.2,1,protein_coding
ENSDARG00000101917,ENSDARG00000101917.2,ENSDART00000169763,ENSDART00000169763.2,1,protein_coding
ENSDARG00000097503,ENSDARG00000097503.3,ENSDART00000156878,ENSDART00000156878.3,1,protein_coding
ENSDARG00000101700,ENSDARG00000101700.2,ENSDART00000168251,ENSDART00000168251.2,1,protein_coding
ENSDARG00000063150,ENSDARG00000063150.5,ENSDART00000091955,ENSDART00000091955.5,1,protein_coding
ENSDARG00000068100,ENSDARG00000068100.6,ENSDART00000133348,ENSDART00000133348.2,1,protein_coding
ENSDARG00000058593,ENSDARG00000058593.7,ENSDART00000081477,ENSDART00000081477.5,1,protein_coding
ENSDARG00000089622,ENSDARG00000089622.4,ENSDART00000156142,ENSDART00000156142.2,1,protein_coding
ENSDARG00000057536,ENSDARG00000057536.7,ENSDART00000128486,ENSDART00000128486.3,1,protein_coding
ENSDARG00000088699,ENSDARG00000088699.3,ENSDART00000122108,ENSDART00000122108.3,1,protein_coding
ENSDARG00000086623,ENSDARG00000086623.4,ENSDART00000136763,ENSDART00000136763.2,1,protein_coding
ENSDARG00000089794,ENSDARG00000089794.5,ENSDART00000147715,ENSDART00000147715.2,1,protein_coding
ENSDARG00000079187,ENSDARG00000079187.6,ENSDART00000115394,ENSDART00000115394.4,1,protein_coding
ENSDARG00000027088,ENSDARG00000027088.7,ENSDART00000039267,ENSDART00000039267.7,1,protein_coding
ENSDARG00000014806,ENSDARG00000014806.10,ENSDART00000133998,ENSDART00000133998.3,1,protein_coding
ENSDARG00000013203,ENSDARG00000013203.9,ENSDART00000152597,ENSDART00000152597.2,1,protein_coding
ENSDARG00000093469,ENSDARG00000093469.3,ENSDART00000146728,ENSDART00000146728.3,1,protein_coding
ENSDARG00000095756,ENSDARG00000095756.2,ENSDART00000146325,ENSDART00000146325.2,1,protein_coding
ENSDARG00000012892,ENSDARG00000012892.11,ENSDART00000013814,ENSDART00000013814.8,1,protein_coding
ENSDARG00000012016,ENSDARG00000012016.8,ENSDART00000018533,ENSDART00000018533.8,1,protein_coding
ENSDARG00000054162,ENSDARG00000054162.9,ENSDART00000110781,ENSDART00000110781.7,1,protein_coding
ENSDARG00000007671,ENSDARG00000007671.13,ENSDART00000135940,ENSDART00000135940.4,1,protein_coding
ENSDARG00000063341,ENSDARG00000063341.7,ENSDART00000092479,ENSDART00000092479.5,1,protein_coding
ENSDARG00000043673,ENSDARG00000043673.7,ENSDART00000142337,ENSDART00000142337.2,1,protein_coding
ENSDARG00000024116,ENSDARG00000024116.5,ENSDART00000031727,ENSDART00000031727.5,1,protein_coding
ENSDARG00000044875,ENSDARG00000044875.5,ENSDART00000065956,ENSDART00000065956.4,1,protein_coding
ENSDARG00000077368,ENSDARG00000077368.5,ENSDART00000193627,ENSDART00000193627.1,1,protein_coding
ENSDARG00000008788,ENSDARG00000008788.9,ENSDART00000017902,ENSDART00000017902.8,1,protein_coding
ENSDARG00000022045,ENSDARG00000022045.10,ENSDART00000154778,ENSDART00000154778.2,1,protein_coding
ENSDARG00000078271,ENSDARG00000078271.4,ENSDART00000148606,ENSDART00000148606.2,1,protein_coding
ENSDARG00000079632,ENSDARG00000079632.5,ENSDART00000139036,ENSDART00000139036.2,1,protein_coding
ENSDARG00000013174,ENSDARG00000013174.11,ENSDART00000151004,ENSDART00000151004.2,1,protein_coding
ENSDARG00000096666,ENSDARG00000096666.2,ENSDART00000152294,ENSDART00000152294.2,1,protein_coding
ENSDARG00000011743,ENSDARG00000011743.9,ENSDART00000135044,ENSDART00000135044.2,1,protein_coding
ENSDARG00000027602,ENSDARG00000027602.9,ENSDART00000124704,ENSDART00000124704.3,1,protein_coding
ENSDARG00000077717,ENSDARG00000077717.5,ENSDART00000172953,ENSDART00000172953.2,1,protein_coding
ENSDARG00000103484,ENSDARG00000103484.2,ENSDART00000166640,ENSDART00000166640.2,1,protein_coding
ENSDARG00000028259,ENSDARG00000028259.9,ENSDART00000031625,ENSDART00000031625.9,1,protein_coding
ENSDARG00000056498,ENSDARG00000056498.7,ENSDART00000147783,ENSDART00000147783.2,1,protein_coding
ENSDARG00000057460,ENSDARG00000057460.7,ENSDART00000101928,ENSDART00000101928.6,1,protein_coding
